COMET INFO:   Metrics [count] (min, max):
COMET INFO:     train_loss [5640]                                                                             : (0.4660390615463257, 0.6960039734840393)
COMET INFO:     validate_Phosphorylation-Y AUC PR [798]                                                       : (0.0841661521003683, 0.5057403275155785)
COMET INFO:     validate_Phosphorylation-Y AUC ROC [798]                                                      : (0.5036227690037114, 0.8021760380319125)
COMET INFO:     validate_Phosphorylation-Y F1 [798]                                                           : (0.11328976034858387, 0.5054115472017872)
COMET INFO:     validate_Phosphorylation-Y MCC [798]                                                          : (-0.02421319551122687, 0.36780706668626145)
COMET INFO:     validate_Phosphorylation-Y Validation Accuracy [798]                                          : (0.5500910746812386, 0.7214593020729216)
COMET INFO:     validate_Phosphorylation-Y Validation Precision [798]                                         : (0.07238307349665925, 0.3871938624963116)
COMET INFO:     validate_Phosphorylation-Y Validation Sensitivity [798]                                       : (0.2605210420841683, 0.8206919494344644)
COMET INFO:     validate_Phosphorylation-Y Validation Specificity [798]                                       : (0.5094043887147336, 0.7211112312182467)
COMET INFO:     validate_Phosphorylation-Y(species=tensor(0., device='cuda:0')) AUC PR [798]                  : (0.18123454683204562, 0.562658799074329)
COMET INFO:     validate_Phosphorylation-Y(species=tensor(0., device='cuda:0')) AUC ROC [798]                 : (0.5706084959816303, 0.801377726750861)
COMET INFO:     validate_Phosphorylation-Y(species=tensor(0., device='cuda:0')) F1 [798]                      : (0.27956989247311825, 0.5441566645609602)
COMET INFO:     validate_Phosphorylation-Y(species=tensor(0., device='cuda:0')) MCC [798]                     : (0.0, 0.29702943031036233)
COMET INFO:     validate_Phosphorylation-Y(species=tensor(0., device='cuda:0')) Validation Accuracy [798]     : (0.1625, 0.590810502283105)
COMET INFO:     validate_Phosphorylation-Y(species=tensor(0., device='cuda:0')) Validation Precision [798]    : (0.1625, 0.4054310672236992)
COMET INFO:     validate_Phosphorylation-Y(species=tensor(0., device='cuda:0')) Validation Sensitivity [798]  : (0.824608846822484, 1.0)
COMET INFO:     validate_Phosphorylation-Y(species=tensor(0., device='cuda:0')) Validation Specificity [798]  : (0.0, 0.4926679089362392)
COMET INFO:     validate_Phosphorylation-Y(species=tensor(1., device='cuda:0')) AUC PR [399]                  : (0.25328869751534006, 0.39032372712378577)
COMET INFO:     validate_Phosphorylation-Y(species=tensor(1., device='cuda:0')) AUC ROC [399]                 : (0.6649171394524824, 0.782429108491163)
