AA,avg AUC ROC,std AUC ROC,avg AUC PR,std AUC PR,avg MCC,std MCC
Hydroxylation-K,0.818877551,0,0.5780027953,0,0.5578579268,0
Hydroxylation-P,0.9189520624,0,0.8635767246,0,0.6938205394,0
Pyrrolidone carb. acid,0.934542469,0,0.8919836201,0,0.8045192408,0
Methylation-R,0.7615726565,0,0.3935524362,0,0.3658906167,0
Sumoylation,0.6892126101,0,0.3282524385,0,0.3421156607,0
S-palmitoylation-C,0.600488794,0,0.2477475195,0,0.1243928368,0
Methylation-K,0.6183293221,0,0.1184267051,0,0.0827671791,0
O-linked Glycosylation,0.6819966931,0,0.1470760653,0,0.1363818424,0
N-linked Glycosylation,0.9677969804,0,0.8359527107,0,0.8413754461,0
Acetylation,0.7459040754,0,0.2963800678,0,0.2288049784,0
Phosphorylation-Y,0.6487860435,0,0.2375748282,0,0.1545968269,0
Ubiquitination,0.5472206595,0,0.2800935598,0,0.0454327042,0
Phosphorylation-S/T,0.7852338573,0,0.3589497199,0,0.2974340657,0
