AA,avg AUC ROC,std AUC ROC,avg AUC PR,std AUC PR,avg MCC,std MCC
Hydroxylation-K,0.79,0.101,0.616,0.118,0.561,0.154
Sumoylation,0.826,0.007,0.545,0.015,0.356,0.011
Hydroxylation-P,0.855,0.041,0.57,0.086,0.518,0.077
Methylation-K,0.838,0.004,0.385,0.014,0.312,0.011
S-palmitoylation-C,0.783,0.01,0.463,0.018,0.349,0.018
Methylation-R,0.828,0.006,0.412,0.016,0.287,0.016
O-linked Glycosylation,0.734,0.01,0.199,0.015,0.161,0.014
N-linked Glycosylation,0.98,0.001,0.906,0.005,0.851,0.004
Ubiquitination,0.813,0.002,0.61,0.005,0.423,0.005
Phosphorylation-Y,0.8,0.002,0.5,0.004,0.362,0.004
Pyrrolidone carb. acid,0.957,0.012,0.84,0.048,0.698,0.068
Phosphorylation-S/T,0.875,0.001,0.644,0.003,0.472,0.003
Acetylation,0.857,0.001,0.538,0.004,0.402,0.006


